Date,Amount,Item,Category,Split,Not Me
2025-06-10,11,to-pg,travel,1,0
2025-06-11,127,to-office,travel,3,0
2025-06-12,111,to-pg,travel,3,0
2025-06-12,20,milk,food,1,0
2025-06-10,37,to-pg,travel,1,0
2025-06-11,132,to-pg,travel,3,0
2025-06-12,141,to-office,travel,3,0
2025-06-13,20,milk,food,1,0
2025-06-13,105,to-office,travel,3,0
2025-06-13,160,lunch,food,1,0
2025-06-13,124,rapido,travel,1,0
2025-06-13,50,gatorade,food,1,0
2025-06-14,200,electricity,utility,1,0
Refill,0.00,,utility,1,0
2025-06-14,422,bowling,me,1,0
2025-06-14,152,chaap,food,1,0
2025-06-14,70,idk,utility,1,0
2025-06-15,85,ironing,utility,1,0
2025-06-15,20,milk,food,1,0
2025-06-15,38,rapido,travel,1,0
2025-06-15,20,sugarcane,food,1,0
2025-06-16,105,auto,travel,3,0
2025-06-16,180,cab-to-pg,travel,4,0
2025-06-17,20,milk,food,1,0
2025-06-18,20,milk,food,1,0
2025-06-19,129,auto-to-office,travel,3,0
2025-06-19,34,ironing,utility,1,0
2025-06-19,30,chocolate-milk,food,1,0
2025-06-20,172,cab-to-pg,travel,4,0
2025-06-21,20,detergent,utility,1,0
2025-06-14,138,auto-to-mall,travel,3,0
2025-06-14,79,burger,food,1,0
2025-06-14,150,auto-from-mall,travel,3,0
2025-06-17,96,auto-to-office,travel,3,0
2025-06-17,99,auto-to-pg,travel,3,0
2025-06-18,123,auto-to-office,travel,3,0
2025-06-18,200,auto-to-pg,travel,5,0
2025-06-21,20,milk,food,1,0
2025-06-21,188,cycle,me,1,0
2025-06-21,70,kulfi,food,1,0
2025-06-21,20,water,food,1,0
2025-06-21,45,protein-bar,food,1,0
2025-06-22,40,milk,food,1,0
2025-06-22,105,auto-to-movie,travel,5,0
2025-06-22,150,movie,me,1,0
2025-06-23,114,auto-to-office,travel,3,0
2025-06-23,100,earphones,utility,1,0
2025-06-23,85,ironing,utility,1,0
2025-06-23,20,milk,food,1,0
2025-06-24,120,auto-to-office,travel,3,0
2025-06-24,40,juice,food,1,0
2025-06-25,29,milk,food,1,0
2025-06-25,30,juice,food,1,0
2025-06-25,20,milk,food,1,0
2025-06-25,200,haircut,utility,1,0
2025-06-28,20,juice,food,1,0
2025-06-28,20,milk,food,1,0
2025-06-28,280,food-street,food,1,0
2025-06-29,40,milk,food,1,0
2025-06-29,10,detergent,utility,1,0
2025-06-29,290,food,food,1,0
2025-06-29,105,auto-from-ikea,travel,5,0
2025-06-21,770,flechazzo,food,1,0
2025-06-21,85,travel,travel,1,0
2025-06-22,20,auto-to-movie,travel,1,0
